k,f,grad_norm,t_k
211,-131.7739009718363,1.395841618436913,1.0
212,-131.78142703122484,1.382018929024459,1.0
213,-131.78910448965135,1.3698332365950203,1.0
214,-131.79804559723283,1.3593945101858707,1.0
215,-131.80641591939462,1.344566375238214,1.0
216,-131.81523084320418,1.3227779603603833,1.0
217,-131.8248095820381,1.298700284365468,1.0
218,-131.83423932954798,1.2828416501179625,1.0
219,-131.84173551062227,1.2669158885209424,1.0
220,-131.85128995152394,1.243330321110791,1.0
221,-131.85941570238958,1.2261001131626827,1.0
222,-131.8645818782952,1.217424801187447,1.0
223,-131.87404083047971,1.2048583899988645,1.0
224,-131.87923837215564,1.2052574064125956,1.0
225,-131.88950467520513,1.1745846788786725,1.0
226,-131.89533755936515,1.161855187574071,1.0
227,-131.90157433517942,1.1471370128478584,1.0
228,-131.90825787839012,1.143829960351379,1.0
229,-131.91467444176735,1.1283308137616743,1.0
230,-131.9203884146049,1.1123289441234554,1.0
231,-131.92745269889895,1.0985355975538433,1.0
232,-131.9332031616828,1.0842301087055541,1.0
233,-131.93729907301295,1.0815766258126212,1.0
234,-131.941547767547,1.0745975116162154,1.0
235,-131.9473355492628,1.0684902426258438,1.0
236,-131.9510496561239,1.0598117546877777,1.0
237,-131.95641818921808,1.0472289292844517,1.0
238,-131.96299075816648,1.037586601308359,1.0
239,-131.96841401723844,1.0294326705027392,1.0
240,-131.97363840843497,1.0041347815479398,1.0
241,-131.9770533896967,0.9973821014478641,1.0
242,-131.98194933224838,0.9802799126988839,1.0
243,-131.98538118659923,0.9748484315202026,1.0
244,-131.98873417747313,0.9724227633279224,1.0
245,-131.9936068862998,0.9583954165661659,1.0
246,-131.9981497469312,0.947283183606589,1.0
247,-132.00240267527352,0.9385298885934592,1.0
248,-132.00583866395723,0.9309527569120462,1.0
249,-132.00929095202437,0.9253989320618116,1.0
250,-132.0128488949921,0.9082713883002298,1.0
251,-132.01618284351224,0.8954437324487711,1.0
252,-132.01949091345668,0.8842921466060149,1.0
253,-132.02268661456085,0.8829019577803748,1.0
254,-132.02538360577054,0.87258740073949,1.0
255,-132.0274510989672,0.8663682950414954,1.0
256,-132.0319052897674,0.8455151141738142,1.0
257,-132.03442023758095,0.8338412582563335,1.0
258,-132.03814059318287,0.82176542637963,1.0
259,-132.04080766575643,0.8135708820608525,1.0
260,-132.0442528138201,0.8039420997778204,1.0
261,-132.0478728244044,0.7913506028683348,1.0
262,-132.0510231453462,0.7796074996767274,1.0
263,-132.05451646203963,0.7655955235373141,1.0
264,-132.05737254618094,0.7552161030854971,1.0
265,-132.05948426946108,0.7478191951272231,1.0
266,-132.062748635605,0.7337924246274528,1.0
267,-132.06510290146798,0.7283991905689124,1.0
268,-132.0680557291883,0.7224036324188914,1.0
269,-132.0708317756864,0.7064041861858578,1.0
270,-132.07354635182858,0.7013024161537972,1.0
271,-132.07589422048812,0.6967218359245085,1.0
272,-132.07815967948216,0.6900046842121088,1.0
273,-132.07978114552415,0.6846682039314909,1.0
274,-132.08130097266482,0.6764160224180512,1.0
275,-132.08380058694956,0.6663621755239548,1.0
276,-132.0862423449795,0.6610796594633956,1.0
277,-132.08795573432886,0.6513932419539644,1.0
278,-132.08985204951634,0.6431781380643211,1.0
279,-132.09157591107902,0.6323555508957236,1.0
280,-132.09352092541505,0.6264621854906163,1.0
281,-132.09492210434564,0.6227809372223068,1.0
282,-132.09696699407448,0.6081688209666704,1.0
283,-132.09858206327738,0.5992486078543947,1.0
284,-132.10072439452728,0.5927542432368272,1.0
