k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
197,6.554077610802951,6.551605652742953,0.9668409477640687,6.103515625e-05,7,4,10,0.0,0.0,10,24951.138342800048
198,6.55407760816155,6.551298317084888,0.9668400090126109,0.015625,7,4,10,0.0,0.0,10,7771131.266002201
199,6.55401744878891,6.458482339704939,0.9665434757486248,0.03125,7,4,10,0.0,0.0,10,603.9818477793452
200,6.553487455572013,6.230762867486108,0.9666877723751689,0.00390625,7,4,10,0.0,0.0,10,4411.845379443593
201,6.55338712596645,6.203065737684048,0.9667472182115936,0.001953125,7,4,10,0.0,0.0,10,1995679.5139016618
202,6.526574239920059,3.869050775492362,0.9687375404434831,0.00390625,7,4,10,0.0,0.0,6,550.2441181014218
203,6.522640212694023,6.701438608768739,0.9782695065776869,0.00390625,7,4,10,0.0,0.0,10,1589055.8769188158
204,6.522297003048749,6.659576416669221,0.9784444505051287,0.001953125,7,4,10,0.0,0.0,10,2017212.3785339973
205,6.493824930078262,4.167841107267877,0.9804689187311626,0.00390625,7,4,10,0.0,0.0,4,580.9018202225535
206,6.4938154963015435,4.150920393679388,0.9804400046079584,0.001953125,7,4,10,0.0,0.0,10,9007.676022353862
207,6.477470309309884,3.0500451695399957,0.9853493672183562,0.00390625,7,4,10,0.0,0.0,10,700990.2071286346
208,6.462544891980247,4.6588542317955355,0.9921862289269888,0.001953125,7,4,10,0.0,0.0,10,4924894.671842559
209,6.444594102083942,3.3203039162017163,0.9972400358548714,0.0009765625,7,4,10,0.0,0.0,5,463.30703462812073
210,6.444588422451503,3.316297627791282,0.9972595434715139,0.00390625,7,4,10,0.0,0.0,10,1001.2805266737154
211,6.433855408981916,5.508322428435161,1.0038681008311647,0.0625,7,4,10,0.0,0.0,10,36409.01803042499
212,6.433216139346767,5.174879021455348,1.003675949169276,0.03125,7,4,10,0.0,0.0,10,249273.4374615787
213,6.432741110522756,4.99757572931443,1.0034497045046549,0.00390625,7,4,10,0.0,0.0,10,1115331.423425925
214,6.432574056457866,4.975663645942405,1.0034852918777366,0.03125,7,4,10,0.0,0.0,5,621.4196161506952
215,6.432305997485459,4.78932028868163,1.0030111057116755,0.001953125,7,4,10,0.0,0.0,10,1105.0848258478266
216,6.413580932811689,3.434833494917064,1.0081435856753724,0.0078125,7,4,10,0.0,0.0,10,20590.495936499512
217,6.413431794435726,3.396940509108708,1.0081776558510303,0.00390625,7,4,10,0.0,0.0,10,9328.840023774803
218,6.403709746436773,5.759322263561646,1.0148239576304618,0.0078125,7,4,10,0.0,0.0,10,527335.4601854064
219,6.403703547214874,5.7130276493756496,1.0147352285021851,0.0625,7,4,10,0.0,0.0,10,5584045.997447615
