k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
113,7.393098595497218,3.4025743858161115,0.652282336061715,0.0078125,7,4,10,1e-08,1e-08,6,224.08770030910486
114,7.355317427146738,4.867560006659448,0.6717958790735786,0.00390625,7,4,10,1e-08,1e-08,10,34343.63647649917
115,7.333083857984543,5.083857718070864,0.6764992455098091,0.0078125,7,4,10,1e-08,1e-08,10,1954672.3871824434
116,7.333076882717559,5.054118139295121,0.6764722124581174,0.015625,7,4,10,1e-08,1e-08,4,403.32436125721256
117,7.332625470115785,4.9714568146910345,0.6764700575997331,0.015625,7,4,10,1e-08,1e-08,10,22.520974570916135
118,7.3325710061392275,4.84361250431235,0.6759365871151977,0.0009765625,7,4,10,1e-08,1e-08,10,90.69405359284657
119,7.3324195668780385,4.850974817626599,0.676067142768092,0.03125,7,4,10,1e-08,1e-08,10,133.94515240103166
120,7.331765691572626,4.761205041270674,0.6764456191671324,0.015625,7,4,10,1e-08,1e-08,10,14210.937111427691
121,7.331703065453757,4.679326685105571,0.6763041526329165,0.00390625,7,4,10,1e-08,1e-08,5,394.1049393308842
122,7.31215181389288,5.064737490216586,0.6879180681212568,0.00390625,7,4,10,1e-08,1e-08,10,534.237315686782
123,7.295570969940343,5.6569118276580275,0.6925480024295326,0.125,7,4,10,1e-08,1e-08,10,905.113091429478
124,7.294420741145114,4.912656446526447,0.6911534088780447,0.00390625,7,4,10,1e-08,1e-08,10,3126.449928814389
125,7.274669255963782,5.410247716532144,0.7031369523628811,0.00390625,7,4,10,1e-08,1e-08,10,190890.87938429852
126,7.261209354845034,6.274353879849643,0.7075955039330853,0.25,7,4,10,1e-08,1e-08,10,1829526.247331423
127,7.259711708768207,4.764500779751519,0.7057135334511141,0.015625,7,4,10,1e-08,1e-08,6,375.44915921903504
128,7.259407510133169,4.787932804629549,0.7064832982485386,0.00390625,7,4,10,1e-08,1e-08,10,345.9254506229572
129,7.232894256646777,5.055094212370568,0.7177333297214584,0.0009765625,7,4,10,1e-08,1e-08,10,9951.501197863752
130,7.232856830619417,5.052779541294414,0.717756519107952,0.00390625,7,4,10,1e-08,1e-08,10,598984.3584061682
131,7.219157702679328,6.000019234406228,0.7224030055674844,0.001953125,7,4,10,1e-08,1e-08,5,446.5494400760889
132,7.219086111272873,5.968915121628281,0.7222366218122416,0.0625,7,4,10,1e-08,1e-08,10,2318.0991062543644
133,7.2183283517093955,5.605407667728074,0.7217842766279147,0.015625,7,4,10,1e-08,1e-08,10,400074.943932253
134,7.216961818555321,5.440390177825526,0.7213203846785252,0.0078125,7,4,10,1e-08,1e-08,10,3698471.7037020884
