k,f,grad_norm,alpha
281,-21.44295078876603,4.759806448507708,1.0
282,-21.454762476442543,4.728262681638289,1.0
283,-21.467080285340245,4.692419216944181,1.0
284,-21.480552137932467,4.692137641121829,1.0
285,-21.49224504083733,4.65578418657925,1.0
286,-21.5009120850816,4.657641259896334,1.0
287,-21.50898685913024,4.625196911577736,1.0
288,-21.518285500833482,4.620833760090569,1.0
289,-21.52799162357144,4.630019000723784,1.0
290,-21.53805179550442,4.570122034984269,1.0
291,-21.547440972380926,4.572169170198431,1.0
292,-21.55774999910225,4.542206012347951,1.0
293,-21.565358036877647,4.526062059097957,1.0
294,-21.57682856813496,4.553300938284357,1.0
295,-21.58352329217547,4.540204777447878,1.0
296,-21.596454402816207,4.509838278436057,1.0
297,-21.60637145186328,4.525477038463683,1.0
298,-21.619975181976294,4.513869012387806,1.0
299,-21.630023603483995,4.524836952382949,1.0
300,-21.642984764816966,4.517326037141824,1.0
301,-21.650391887862142,4.529154096365808,1.0
302,-21.661358192434943,4.527217874406823,1.0
303,-21.668891734905035,4.508946534726431,1.0
304,-21.67552385245371,4.481726517312215,1.0
305,-21.683913378504265,4.462070763072965,1.0
306,-21.696175075597914,4.449951139326456,1.0
307,-21.706023196881095,4.432276614799983,1.0
308,-21.719203806713526,4.424354351101632,1.0
309,-21.72532899303521,4.424080127386738,1.0
310,-21.735693249551062,4.396985736850126,1.0
311,-21.746183537705917,4.366455457318215,1.0
312,-21.757143753534216,4.400521215487308,1.0
313,-21.7648083349294,4.394153703242955,1.0
314,-21.77290820983482,4.406802490166244,1.0
315,-21.784808492588823,4.338919250275576,1.0
316,-21.794068619021274,4.301940060470415,1.0
317,-21.804196165895092,4.304499776405321,1.0
318,-21.814059273648553,4.291739924834343,1.0
319,-21.822639047192272,4.289453188534448,1.0
320,-21.83048658258153,4.265203380636869,1.0
321,-21.841820200671652,4.2755862341096975,1.0
322,-21.85077305303033,4.307395171744887,1.0
323,-21.858730118327223,4.279785172666847,1.0
324,-21.868781729665926,4.2530679221088015,1.0
