k,f,grad_norm,alpha,rk_residual
227,-45.15420045741495,5.30622988547355e-08,1.862645149230957e-09,9.57801824010391e-12
228,-45.15420045741495,5.306229883545336e-08,1.862645149230957e-09,1.0478882171987123e-11
229,-45.15420045741495,5.306229881617122e-08,1.862645149230957e-09,1.3759847023462896e-11
230,-45.15420045741495,5.306229879688908e-08,1.862645149230957e-09,1.3646668088275654e-11
231,-45.15420045741495,5.306229877760694e-08,1.862645149230957e-09,1.32905364873103e-11
232,-45.15420045741495,5.30622987583248e-08,1.862645149230957e-09,1.4414717561575846e-11
233,-45.15420045741495,5.3062298739042663e-08,1.862645149230957e-09,1.4151952094449326e-11
234,-45.15420045741495,5.306229871976052e-08,1.862645149230957e-09,1.3328886000711421e-11
235,-45.15420045741495,5.3062298700478385e-08,1.862645149230957e-09,1.2465713957673185e-11
236,-45.15420045741495,5.306229868119624e-08,1.862645149230957e-09,1.247844515952232e-11
237,-45.15420045741495,5.306229866191411e-08,1.862645149230957e-09,1.2282903212712213e-11
238,-45.15420045741495,5.306229864263197e-08,1.862645149230957e-09,1.1925414817658628e-11
239,-45.15420045741495,5.306229862334983e-08,1.862645149230957e-09,1.2088016977702317e-11
240,-45.15420045741495,5.306229860406769e-08,1.862645149230957e-09,1.2221490485320604e-11
241,-45.15420045741495,5.306229858478555e-08,1.862645149230957e-09,1.2567567486194509e-11
242,-45.15420045741495,5.3062298565503413e-08,1.862645149230957e-09,1.4299111552696592e-11
243,-45.15420045741495,5.306229854622128e-08,1.862645149230957e-09,1.4907657350149193e-11
244,-45.15420045741495,5.3062298526939135e-08,1.862645149230957e-09,1.3238090743738066e-11
245,-45.15420045741495,5.3062298507657e-08,1.862645149230957e-09,1.2255059203462175e-11
246,-45.15420045741495,5.306229848837486e-08,1.862645149230957e-09,1.2858995558945989e-11
247,-45.15420045741495,5.306229846909272e-08,1.862645149230957e-09,1.2279220367395482e-11
248,-45.15420045741495,5.3062298449810585e-08,1.862645149230957e-09,1.3700983385312952e-11
249,-45.15420045741495,5.306229843052844e-08,1.862645149230957e-09,1.4006701977088155e-11
250,-45.15420045741495,5.3062298411246306e-08,1.862645149230957e-09,1.4641748306683275e-11
251,-45.15420045741495,5.306229839196417e-08,1.862645149230957e-09,1.440124264107251e-11
252,-45.15420045741495,5.306229837268203e-08,1.862645149230957e-09,1.485683144349706e-11
253,-45.15420045741495,5.3062298353399885e-08,1.862645149230957e-09,1.463921877590982e-11
254,-45.15420045741495,5.306229833411775e-08,1.862645149230957e-09,1.4549836071378774e-11
255,-45.15420045741495,5.306229831483561e-08,1.862645149230957e-09,1.4426114026532054e-11
256,-45.15420045741495,5.306229829555347e-08,1.862645149230957e-09,1.324485994749745e-11
257,-45.15420045741495,5.3062298276271335e-08,1.862645149230957e-09,1.3190478580639762e-11
258,-45.15420045741495,5.30622982569892e-08,1.862645149230957e-09,1.2779613130481885e-11
259,-45.15420045741495,5.3062298237707056e-08,1.862645149230957e-09,1.3248359987559562e-11
260,-45.15420045741495,5.306229821842492e-08,1.862645149230957e-09,1.2874836536124766e-11
261,-45.15420045741495,5.3062298199142784e-08,1.862645149230957e-09,1.2985460018357026e-11
262,-45.15420045741495,5.306229817986064e-08,1.862645149230957e-09,1.1978438667242773e-11
